"key","eng","rus"
"credits","Idea, graphics, coding - Andrey Motovilov graphics - Anastasia Ermoshenko sound - Kirill Antonov","Идея, графика, код - Андрей Мотовилов графика - Анастасия Ермошенко звук - Кирилл Антонов"
"info_title","Info","Инфа"
"autobet_info","AUTOBET - in case you participate in bet the turn will be autocompleted. Otherwise you have to draw card to continue bet.","АВТОСПОР - в случае спора с вашим участием, ход будет автоматически завершён. Иначе вам придётся ходить, чтобы продолжить спор."
"two_beats_ace_info","TWO/SIX BEATS ACE - two/six wins when 2 cards are compared. If more cards are compared bet occurs, because these cards beat each other.","ДВОЙКА/ШЕСТЁРКА БЬЁТ ТУЗА -  при сравнении двух карт двойка/шестёрка выигрывает. При сравнении трёх и более карт возникает спор, т.к. все карты друг друга бьют."
"easy_win_info","EASY WIN - eliminate one opponent to win","ЛЁГКАЯ ПОБЕДА - вы выиграете при устранении одного соперника."
"giveaway_info","GIVEAWAY - get rid of your cards to win","ПОДДАВКИ - выигрывает избавившийся от карт игрок."
"title","Druncard","Пьяница"
"play","Play","Играть"
"settings","Settings","Настройки"
"yes","Yes","Да"
"no","No","Нет"
"two_beats_ace","Two beats ace","Двойка бьёт туза"
"six_beats_ace","Six beats ace","Шестёрка бьёт туза"
"autobet","Autobet","Автоспор"
"easy_win","Easy win","Лёгкая победа"
"giveaway","Giveaway","Поддавки"
"cards","Cards","Карты"
"players","Players","Игроки"
"language","Language","Язык"
"face","Face","Лицо"
"backface","Back","Рубашка"
"table","Table","Стол"
"back","Back","Назад"
"you","You","Вы"
"victory","Victory!","Победа!"
"defeat","You lost","Вы проиграли"
